DPA_PARROQ,RIESGO_INUNDACION,SCORE
60354.0,Bajo,0.98
109074.41182682154,Bajo,0.99
60450.0,Bajo,0.99
60551.0,Bajo,0.99
60550.0,Medio,0.89
60552.0,Medio,0.93
60553.0,Bajo,0.76
60554.0,Bajo,0.97
60651.0,Bajo,1.0
60650.0,Bajo,0.98
60652.0,Bajo,0.96
60751.0,Medio,0.9
60750.0,Bajo,0.93
60752.0,Bajo,1.0
60753.0,Bajo,0.96
60754.0,Bajo,0.9
60755.0,Bajo,0.95
60756.0,Medio,0.99
60757.0,Bajo,0.97
60758.0,Bajo,0.92
60759.0,Bajo,0.86
60850.0,Medio,0.78
60956.0,Medio,0.83
60951.0,Medio,0.96
60955.0,Medio,0.87
60952.0,Alto,0.77
60950.0,Medio,0.96
60953.0,Medio,1.0
60954.0,Bajo,0.98
61050.0,Alto,0.94
70152.0,Alto,0.75
70150.0,Bajo,0.74
70250.0,Medio,0.91
70255.0,Medio,0.91
70251.0,Alto,0.82
70254.0,Alto,0.83
70351.0,Medio,0.96
109074.41182682154,Medio,0.99
70352.0,Medio,0.95
70353.0,Medio,0.88
70350.0,Alto,0.81
70354.0,Medio,0.91
70450.0,Medio,0.99
70451.0,Medio,0.91
70550.0,Bajo,0.93
70651.0,Medio,0.86
70650.0,Medio,0.82
70652.0,Medio,0.88
70654.0,Bajo,0.82
70653.0,Bajo,0.79
70750.0,Medio,0.83
70851.0,Medio,1.0
70850.0,Medio,0.96
70951.0,Medio,0.8
70952.0,Bajo,0.96
109074.41182682154,Bajo,0.99
70953.0,Bajo,0.73
70950.0,Bajo,0.93
70954.0,Medio,0.85
70955.0,Bajo,0.94
71051.0,Alto,0.8
71052.0,Alto,0.87
71053.0,Medio,0.99
71054.0,Alto,0.96
71050.0,Bajo,0.96
71055.0,Medio,0.97
71056.0,Medio,0.94
71151.0,Bajo,0.93
71152.0,Bajo,0.91
71150.0,Bajo,0.91
71153.0,Bajo,0.94
71257.0,Medio,0.95
71251.0,Medio,0.51
71252.0,Medio,0.9
71253.0,Medio,0.68
71254.0,Bajo,0.84
71250.0,Bajo,0.96
71255.0,Bajo,0.95
71256.0,Medio,0.87
71351.0,Bajo,0.99
71352.0,Bajo,0.98
71353.0,Bajo,0.95
71354.0,Bajo,1.0
71355.0,Bajo,0.99
71356.0,Bajo,0.97
71357.0,Bajo,0.99
71359.0,Bajo,0.98
71358.0,Bajo,0.98
71350.0,Bajo,0.86
71452.0,Medio,0.99
71451.0,Medio,0.93
71450.0,Bajo,0.98
71453.0,Bajo,0.99
80152.0,Alto,0.98
80154.0,Medio,0.93
80153.0,Medio,0.97
80150.0,Bajo,0.9
80159.0,Alto,0.97
80163.0,Alto,0.98
80165.0,Alto,1.0
80166.0,Medio,0.99
80168.0,Medio,0.97
80251.0,Alto,0.96
80252.0,Medio,0.92
80253.0,Medio,0.85
80262.0,Medio,0.87
80254.0,Alto,0.87
80255.0,Alto,0.92
80256.0,Alto,0.97
80257.0,Medio,0.88
80258.0,Alto,0.91
80263.0,Alto,0.97
80259.0,Alto,0.94
80260.0,Alto,0.99
80261.0,Medio,0.99
80264.0,Medio,0.94
80250.0,Alto,0.94
80351.0,Medio,0.85
80352.0,Medio,0.85
80353.0,Medio,0.98
80350.0,Medio,0.77
109074.41182682154,Medio,0.93
80355.0,Alto,0.92
80356.0,Medio,0.97
80357.0,Alto,0.96
80358.0,Alto,0.94
80452.0,Alto,0.94
80451.0,Medio,0.98
80455.0,Medio,0.92
80453.0,Alto,0.99
80450.0,Medio,0.95
80454.0,Medio,0.98
80555.0,Alto,0.97
80551.0,Medio,0.95
80552.0,Medio,0.67
80553.0,Alto,0.96
80554.0,Medio,0.74
80556.0,Alto,0.91
80557.0,Medio,0.85
80558.0,Alto,0.92
80550.0,Alto,0.89
80559.0,Medio,0.84
80560.0,Medio,0.92
80561.0,Alto,0.96
80562.0,Alto,0.89
80650.0,Medio,0.83
80651.0,Medio,0.99
80652.0,Alto,0.96
80653.0,Medio,0.96
80654.0,Medio,0.92
80751.0,Medio,0.94
80752.0,Medio,0.95
80753.0,Medio,0.94
80754.0,Medio,0.93
80750.0,Alto,0.81
80755.0,Alto,0.92
80850.0,Bajo,0.83
90150.0,Medio,0.85
109074.41182682154,Alto,0.73
90153.0,Alto,0.91
90156.0,Alto,0.72
90157.0,Alto,0.94
90158.0,Alto,0.91
90250.0,Alto,0.99
90350.0,Medio,0.63
90450.0,Alto,0.56
90550.0,Alto,0.93
90551.0,Medio,0.86
90650.0,Medio,0.69
90652.0,Alto,0.97
90653.0,Alto,0.98
90654.0,Alto,0.99
90656.0,Alto,0.97
90750.0,Medio,0.9
109074.41182682154,Alto,0.96
109074.41182682154,Alto,0.97
109074.41182682154,Alto,0.95
90950.0,Alto,0.82
91051.0,Alto,0.94
91053.0,Alto,0.98
91050.0,Alto,0.88
91054.0,Alto,0.99
91151.0,Alto,0.97
91150.0,Alto,0.92
91152.0,Alto,0.74
91153.0,Alto,0.99
91154.0,Alto,0.87
91250.0,Alto,0.99
91350.0,Alto,0.93
91450.0,Alto,0.86
91452.0,Alto,0.97
109074.41182682154,Medio,0.94
91650.0,Medio,0.87
91651.0,Alto,0.98
91850.0,Alto,0.96
109074.41182682154,Alto,0.98
109074.41182682154,Alto,0.99
109074.41182682154,Alto,1.0
109074.41182682154,Alto,0.99
109074.41182682154,Alto,0.99
109074.41182682154,Alto,0.99
109074.41182682154,Alto,0.97
109074.41182682154,Alto,1.0
92150.0,Medio,0.54
109074.41182682154,Alto,0.97
92250.0,Alto,0.99
109074.41182682154,Alto,0.97
92450.0,Alto,0.92
